詞目id,義項id,詞性,解說
,,名詞,灰面鵟鷹、灰面鷲。禽鳥類。每年十月初至十月底從北半球南下至東南亞一帶渡冬，於臺灣過境期間，可在恆春滿州里附近觀賞。到來年三月底至四月中旬又北返，在彰化八卦山或臺北觀音山地區可看見；因為是由南路而來，又稱為「南路鷹」。
,,副詞,還是、也是。
,,副詞,也是。
,,副詞,才是。
,,時間詞,大前天。
,,名詞,正室、元配。即大老婆。
,,名詞,位在山林之中，自然形成的洞穴。
,,名詞,本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。
,,名詞,三官大帝、三界爺。道教中地位僅次於玉皇大帝的天、地、水三官，分別掌管賜福、赦罪、解厄。
,,名詞,將魚、食蚊魚。魚名。是臺灣瀕臨絕種魚類之一，類似大肚魚，大多生長在清水溝及稻田內，可以食用。
,,名詞,山中和海中所生產的各式各樣的珍貴食品。
,,名詞,昭和草。草本植物。莖葉鮮綠柔軟，葉緣呈鋸齒狀，花為紅褐色，果實被絨毛。春季為最佳的採集季節，可以食用。遭蟲咬傷或擦傷，也可將莖葉搗碎敷於患部。
,,名詞,樂譜中其音低於基礎音者。
,,名詞,乞丐、叫花子。靠要錢、要飯過活的人。
,,名詞,外面。外頭、外部。
,,名詞,各地方所特有的說話方式及腔調。
,,名詞,指生來就得靠要錢、要飯過日子的命運。
,,形容詞,厚臉皮。不知羞恥的樣子。
,,名詞,月琴。弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，俗稱為「乞食琴」。
,,名詞,乞丐頭子。乞丐的首領。
,,名詞,為非作歹、打家劫舍的匪徒。
,,形容詞,像土匪一樣兇惡。
,,名詞,大房子、廣廈。
,,名詞,棺材。
,,名詞,稱謂。兄弟中排行最大的、最年長的。
,,名詞,老大。團體中的領導人。
,,名詞,簡陋又低矮的房子。
,,名詞,大姑子。稱謂。已婚婦女對他人稱呼自己丈夫的姊姊。
,,名詞,帳戶、戶頭。在金融機構開一個存提款戶。源自日語「口座（こうざ）」。
,,名詞,無師自通的技術工。
,,名詞,長孫。排行最大的孫子。
,,名詞,婆婆。稱謂。婦女對他人稱自己丈夫的母親。
,,名詞,雌性動物生殖器的主要部分。位於小骨盤內膀胱與直腸之間，以子宮頸與陰道相連，底部兩側與輸卵管相通，為胎兒發育的場所。
,,名詞,山崖。山陡直的側面。
,,名詞,大家庭、大家族。人口數眾多的家庭、家族。
,,名詞,公婆。稱謂。指丈夫的父母親。
,,時間詞,指晚上十一點到隔天凌晨一點的時間。
,,動詞,指客人赴宴就席。
,,動詞,指筵席中上菜的形式過程。
,,名詞,說話的語氣。
,,名詞,包圍在地球外層的空氣，由許多種氣體混合成的，其中以氮、氧為主要的成分。
,,名詞,大口的呼吸。
,,動詞,哮喘、氣喘。一種呼吸困難的症狀。
,,動詞,插手管別人的事情。
,,形容詞,比較低下的級別，相對於「高級」而言。
,,名詞,一大群人。
,,名詞,面具。
,,熟語,東扣西扣。指扣除的項目很多。 
,,動詞,上坡。
,,名詞,指地勢較一般平原為高的小山丘。
,,名詞,指人的才華、本事、才能。
,,形容詞,有才華的。
,,名詞,佛、儒、道三教的合稱。
,,時間詞,下午。
,,時間詞,下午。
,,名詞,零鈔。小面額的紙幣。
,,名詞,樂器名。有三根絃的彈撥樂器，音色非常清脆，分為大三絃和小三絃，構造都相同，是說唱音樂和各種地方戲曲中的重要樂器。
,,形容詞,大小。指一般事物的尺寸大小。
,,動詞,偏心。指人故意偏袒一方，對某一方存私心。
,,形容詞,本義為兩眼一大一小，大小眼。引申為用不公平的角度看待他人。
,,名詞,山的最高點。
,,名詞,工廠。把原料製成製造品，或把半成品做成成品的製造場所。工廠裡通常有機器和工人。
,,名詞,泛指工人工作之場所。
,,名詞,表示非常富有的狀況。
,,形容詞,極冷，嚴寒。
,,熟語,非常富有且地位顯貴。
,,動詞,大掃除。也引申為對工作項目的整理。
,,動詞,發霉。
,,名詞,指臺灣南部地方。
,,名詞,大河。
,,形容詞,形容風勢或水流量很大。
,,名詞,大波浪。
,,副詞,只有、僅僅。
,,名詞,傳統中醫對消渴症的三種辨證法之一，又稱「腎消」，症狀為多尿且傷腎水。
,,形容詞,形容其人無用、無能。
,,名詞,樂器名。屬於簧片風琴的最小型樂器，上面有兩行並列的小孔，裡面裝有銅製的笛簧，用口吹吸，就能發出各種聲調。
,,名詞,有關製造、建築、開礦、發電、興修水利等，有一定計畫的工作進程。
,,名詞,主持工事、管理機械的專門技術人員。
,,形容詞,最高等級或最優異的品等。
,,名詞,大筒子。
,,名詞,靜脈注射、點滴。
,,動詞,等一下、稍等。
,,名詞,土芭樂。瓜果類。番石榴的一種，臺灣土生種，果實形體小，晒乾後可以泡茶，中醫療效上可以治糖尿病。
,,動詞,原意是指向神明、官府、上級陳述。現在多指法律上不服下級法院的判決，轉而向上一級法院提出訴訟，請求改判。
,,副詞,數量多。
,,動詞,撐開。用力使東西張開。
,,副詞,也許、可能。
,,名詞,山的形勢。
,,動詞,指事情不需細想即可知道。
,,時間詞,晚上、今晚。
,,名詞,同業工人為維護共同的權益，所聯合組織的團體。
,,名詞,利用人力、知識、技術、機器等將自然物品加工成新產品的生產事業。
,,連詞,用來連結前後因果關係的詞語。
,,名詞,山澗、山谷。
,,熟語,誓言感情如山的堅定、如海的深沉。多用來表示對愛情的真誠不變。
,,名詞,去向、去處。
,,副詞,務必、絕對。有再三叮嚀的意思。
,,數詞,形容數目很多。
,,名詞,腸的下部。上接小腸，下連肛門，較小腸粗大而短，可依次分為盲腸、結腸與直腸三部分。大腸可吸收水分和一部分養分，並主宰排泄作用。
,,名詞,糯米腸。是一種臺灣傳統食品，將蒸熟的糯米飯拌入佐料，再灌入豬腸內而成。
,,名詞,稱謂。指母親的兄弟中年紀最長的。
,,名詞,稱謂。稱妻子的兄長。
,,名詞,在腸的上部，較大腸細長，上接胃部，下連大腸，有消化和吸收的功用，是人體最重要的消化器官。
,,名詞,半山腰、半山坡。半山處，介於山頂和山腳部分。
,,名詞,大肚子。
,,動詞,懷孕。
,,名詞,用口頭問答的方式，來觀察應考人的反應、言談內容等等的考試方法。
,,方位詞,下面、底下。
,,名詞,粗俗不堪的話。
,,名詞,某地的方言。
,,名詞,誇口不實的話。
,,名詞,哺乳動物。背部暗褐色，腹部灰白色，體毛剛粗，尾部粗壯，鱗環明顯。善挖地穴居，是臺灣體型最大的鼠類，也是臺灣農作物的剋星。民間多抓來食用，一般山產店多寫作「山河肉」。
,,名詞,占據山頭建立營寨或出沒山中的盜賊。
,,名詞,山腳。山下靠近平地的部分。
,,名詞,手下、下屬。從事打雜工作的部屬。
,,名詞,蘿蔔腿。小腿肚粗大的腿形。
,,名詞,三腳架、三角架。用來安放、架設照相機及測量儀器的器具。有三個支柱的架子。
,,形容詞,三腳貓。形容技藝不精、不中用的人。
,,形容詞,低能。指不中用。
,,名詞,寬敞開闊的道路。
,,形容詞,大方。慷慨豪爽，不吝嗇。
,,名詞,小徑、小道。較狹窄的路。
,,名詞,保生大帝，為傳統民間信仰的神明，又稱吳真人。俗名為吳夲，北宋太宗年間福建泉州府同安縣人，以醫藥為業，得道後又以除瘟疫為聖行，中醫藥業常供奉為行業神。也是臺灣同安籍人士信奉的鄉土保護神。在臺灣以臺北大龍峒保安宮、蘆洲保和宮和臺南學甲慈濟宮最為著名之主祀廟宇。
,,名詞,三餐。
,,名詞,山嵐。山中的霧氣。
,,名詞,打擊樂器名。
,,名詞,指重要的生日，多用於五十歲以上逢十的生日。
,,名詞,一個人尚未過世前就預先購買好的備用棺木。
,,形容詞,身材高大。
,,動詞,長大。
,,形容詞,年長的。排行在先的或較年長的。
,,形容詞,形容人體肥胖。
,,形容詞,指圓形物體之粗大。
,,名詞,俗稱「萬」(bān)為「大箍」。
,,名詞,罵身材肥胖的人，有嘲笑其反應不靈敏之意。
,,副詞,最快。
,,名詞,為下肢的一部分，在臀與膝蓋之間。
,,名詞,股骨。大腿裡的骨頭，是全身最長的骨，約占身長的四分之一。
,,副詞,非常、最。
,,名詞,描寫人物故事，有完整布局、情節發展及一貫主題的文學作品。
,,名詞,大張的冥紙，上面貼有銀箔。
,,名詞,小張的冥紙，上面貼有銀箔。
,,名詞,死者的靈魂。
,,名詞,喜餅、禮餅。訂婚時女方贈給親友的餅。
,,名詞,五花肉。指肥瘦夾雜的豬肉。
,,名詞,為了工作而搭起的簡易棚子，可以當作休息或存放工具等的地方。
,,名詞,工場。擁有生產機器及依生產流程分工的工人，並將原料或半成品製成成品的工作場所；通常包括工作、業務和管理等部門 。
,,名詞,五花肉。指肥瘦夾雜的豬肉。
,,名詞,胡琴。用大椰子殼或是質地較輕的木頭(如林投木)做琴箱的胡琴，聲音比「殼仔絃」(khak-á-hiân)低沉、哀怨。
,,形容詞,少數。數額不大。
,,名詞,數學中小於整數「一」的數字。
,,名詞,陀螺。一種玩具，形狀像海螺，用木頭等材料製成。下面尖端有金屬釘，玩時用繩子纏繞，再用力拋出、抽繩使直立旋轉。
,,,比喻忙碌。
,,形容詞,酷暑。極炎熱的天氣。
,,形容詞,一個人的舉止十分大方、自然，不受拘束。
,,形容詞,高雅、不俗氣。
,,名詞,穿越山區的交通路線。
,,名詞,日治時期將臺北府城拆除，興建由安全島分隔成3個分隔道的道路，約如今日之中山南路、愛國西路、中華路、忠孝西路。也指由樹木安全島分隔成的三線大道。
,,動詞,授課、教課。老師教導學生。
,,動詞,上學、學習。學生到學校讀書或接受老師的教導。
,,名詞,工作、事情。
,,名詞,本事、能力。
,,名詞,批發的生意，指成批買賣商品。
,,名詞,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。
,,名詞,山豬、野豬。身體呈圓桶狀，皮黑又厚，長滿粗毛，鼻子長又硬，牙齒尖利，是雜食性動物，性情十分兇暴。
,,名詞,晚輩、後輩。子姪輩或是輩分較低的人。
,,名詞,車子的一種，前為一輪，後為兩輪的車子，可用來作交通工具，或是小孩的遊戲車。
,,名詞,下巴。臉部嘴脣以下的部位。
,,名詞,國家學制上最高單位，凡具備三學院者稱為大學，不足者則稱為獨立學院。
,,名詞,實施初級教育的學校。
,,名詞,香蕉。瓜果類，味道香甜。因為果實長形略為彎曲，所以稱為「弓蕉」。
,,名詞,香蕉油、香蕉水。用酯類、酮類、醇類、醚類和芳香族化合物製成的透明液體，容易揮發，有香蕉氣味。它的酒精溶液可以當作食品香料；混合有機溶劑之後，可以運用在製造噴漆、印刷、或降低漆的黏度等。
,,名詞,雲豹、石虎、狸貓。哺乳動物。頭部有黑色條紋，軀幹有黑褐色斑點，尾部有橫紋，性凶猛，捕食鳥、鼠、蛇、蛙等小動物。
,,名詞,指用言語表示，不是用文字或者行動來表明。
,,名詞,山頂。
,,名詞,喪葬用語，指墓的位置所在。
,,名詞,領班。領導及管理工人的為首者。
,,名詞,工作的開端起頭。
,,副詞,最初、最前頭。
,,名詞,大拇指。
,,名詞,指甲狀腺腫大，也就是甲狀腺內分泌系統中缺碘的一種代償性反應，若是甲狀腺機能亢進症，則不宜吃海帶、紫菜、鹽等或含碘高的食物。
,,名詞,蕪菁。根莖類。根為扁球形，肉質為白色或紅色，球根及嫩葉可以食用。
,,名詞,各項表演元素(如角色、情節、音樂)都較為複雜、完整的傳統戲曲，皆可稱為「大戲」。使用上多指曾流行於臺灣的歌仔戲、高甲戲、亂彈等。
,,名詞,山脈。連綿的高山。
,,名詞,土芒果。還沒經過改良的芒果，味道比改良品種酸，果肉較少，纖維較粗，生芒果常用來醃製成蜜餞。
,,副詞,最多。指數量上的多寡。
,,副詞,至多、頂多。指在最壞的情況下。
,,名詞,漢語的調類之一。在現代國音音系中為第三聲，注音符號用「ˇ」來表示。臺羅音標系統中，調號為「2」的字音就是上聲調。
,,形容詞,聲音宏大、響亮。
,,動詞,理論、咆哮。
,,形容詞,形容人膽量大、不畏怯，也可用於斥責別人無禮、踰越的行為。
,,名詞,誇大、吹噓的話。
,,副詞,下次、下回。
,,名詞,弟媳、小嬸子。稱謂。男子稱呼弟弟的妻子或是女子稱呼丈夫弟弟的妻子。
,,名詞,土雞。不是人工圈養吃飼料的雞。
,,名詞,下巴。一般稱「下巴」為「下頦」(ē-hâi)，「下顎」多在面相當中使用。
,,名詞,工作、技術、技藝。
,,名詞,消遣。
,,動詞,發願、許願。
,,形容詞,大塊頭。形容人的身材高大。
